,credit,gender,education,martial_status,age,pay_status_sep,pay_status_aug,pay_status_jul,pay_status_jun,pay_status_may,pay_status_apr,bill_sep,bill_aug,bill_jul,bill_june,bill_may,bill_apr,paid_sep,paid_aug,paid_jul,paid_jun,paid_may,paid_apr,Y
141,7535,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
142,5651,1,2,2,28,-1,-1,-1,-1,-1,-1,57,0,26,10,13,13,0,13,10,15,109,26,0
143,1569,1,2,2,23,1,2,2,2,0,0,318,340,646,627,624,567,31,313,12,21,25,18,0
144,5337,1,2,2,29,-2,-2,-2,-2,-2,-2,381,313,313,313,313,497,313,313,313,313,498,313,0
145,627,1,1,2,29,-1,-1,-1,-1,0,-1,37,489,10,73,210,10,489,10,73,147,10,10,0
146,1569,1,1,2,28,0,0,0,0,0,3,156,185,229,288,333,318,31,47,62,49,34,0,0
147,5337,2,2,2,27,0,0,0,0,0,0,604,637,654,551,562,285,52,37,11,11,5,0,1
148,6279,1,1,2,34,1,2,0,0,0,0,6192,5531,2922,4259,4151,1879,251,156,1742,156,156,266,0
149,2511,2,2,1,23,1,2,3,2,0,0,287,330,320,310,317,377,51,0,0,11,65,0,0
150,8163,2,1,1,60,1,-2,-1,-1,-1,-1,-34,-34,671,0,30,27,0,706,0,30,31,0,0
151,4395,1,2,1,32,0,0,0,0,2,0,2719,2453,2145,2029,1831,1734,108,97,156,0,65,81,0
152,2511,1,1,2,25,0,0,0,0,0,0,1332,1750,1365,1290,1317,999,941,94,188,251,62,439,0
153,10989,1,1,2,41,1,-1,-1,-1,-1,-2,6,91,31,19,0,0,91,31,19,0,0,0,0
154,8791,2,2,1,56,0,0,0,0,0,0,6554,5725,4152,3195,5561,5315,252,210,161,3139,219,198,0
155,941,2,3,2,26,0,0,0,0,0,0,283,326,358,374,410,446,53,47,31,47,47,47,0
156,4395,1,1,1,34,0,0,0,0,0,0,751,880,1007,1354,1478,1529,156,156,373,156,94,172,0
157,6279,2,1,2,37,0,0,0,0,0,0,3309,3229,2814,2855,2904,2952,125,102,102,109,111,156,0
158,6279,2,3,2,30,0,0,0,0,0,0,6154,6158,5950,5248,4614,3840,229,223,241,194,156,141,0
159,6593,1,3,1,45,2,3,4,4,5,6,3635,3858,4076,4310,4569,4838,328,328,347,347,366,328,1
160,1569,1,3,1,57,3,2,0,0,0,0,403,388,422,421,430,442,0,50,15,15,18,18,0
161,941,1,1,2,41,2,2,2,2,2,0,764,861,838,884,865,889,109,0,69,0,37,39,0
162,1569,1,2,2,27,2,-1,-1,-1,-1,2,12,12,24,6,33,16,12,24,6,27,0,12,0
163,9105,1,3,1,47,-1,-1,-1,-1,0,-1,38,12,12,24,12,13,12,12,24,0,13,11,0
164,7849,2,1,1,34,0,0,2,0,0,0,4434,4924,4767,4797,4897,5030,564,0,171,177,213,123,0
165,1883,2,2,1,46,0,0,0,0,0,0,663,747,782,817,836,871,94,47,47,31,47,47,0
166,3453,2,1,2,27,0,0,0,0,0,0,3191,3290,3292,2346,2388,2425,172,122,94,91,94,87,0
167,11616,1,1,2,50,-2,-2,-2,-2,-2,-2,191,475,257,483,150,422,482,257,483,150,422,147,0
168,3139,1,2,1,27,-1,2,2,0,0,0,3213,3040,1846,921,721,-7,99,0,41,43,0,1569,0
169,2825,2,2,1,35,0,0,0,0,0,2,2264,2318,2371,2427,2695,2772,109,109,114,313,125,0,0
170,1569,2,2,2,22,0,0,0,0,0,0,880,913,922,870,889,904,47,45,30,31,40,17,0
171,8477,1,2,2,37,0,0,0,0,0,0,1183,1048,958,866,827,773,156,62,94,125,94,62,0
172,9419,2,1,2,30,-1,-1,-1,-1,-1,-1,21,102,0,136,83,25,103,0,136,83,25,23,0
173,1569,2,2,2,22,-1,0,0,0,0,0,268,479,365,234,97,242,470,31,4,0,156,313,0
174,1569,2,1,2,24,1,-2,-2,-2,-2,-2,-22,-22,-22,-90,-102,-102,0,0,0,0,0,0,1
175,11302,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,2,0,0,0,0,2,0,0,0,0,0
176,4081,1,3,1,56,1,2,2,2,2,3,2028,2071,2112,2152,2285,2240,94,94,94,172,0,0,1
177,2511,1,1,2,30,-2,-1,0,0,0,0,194,3,18,45,60,168,15,15,31,15,109,0,0
178,1569,1,2,2,30,1,2,0,0,0,2,1534,1500,1518,948,718,702,0,47,31,62,0,62,0
179,627,2,2,2,22,0,0,0,0,0,0,502,396,415,412,440,468,38,37,15,47,47,31,0
180,2511,2,2,1,29,0,0,2,0,0,0,2445,2568,2519,1929,334,360,182,31,18,12,31,0,0
181,7535,1,1,2,37,-1,-1,2,0,0,-1,383,834,795,835,825,39,470,0,62,0,39,2070,0
182,2511,2,3,2,35,0,-1,0,0,0,0,1557,389,466,545,557,548,392,204,94,62,94,62,0
183,15698,2,1,1,47,0,0,0,0,0,0,1771,3473,3464,3860,3417,2199,2198,953,941,627,1638,627,0
184,1883,2,2,1,24,0,0,0,0,0,0,1821,1817,1533,595,606,608,78,50,94,31,23,62,1
185,627,1,2,2,25,0,0,0,0,0,-1,334,366,410,385,50,50,37,50,18,4,57,0,0
186,3139,2,2,1,38,1,2,0,0,2,0,454,438,481,510,498,516,0,50,47,0,31,47,1
187,11302,2,1,2,32,1,-1,-1,-1,-1,-1,82,1792,165,2148,435,509,1792,166,2149,436,510,1202,0
188,6279,2,3,2,47,2,2,2,2,2,2,6261,6371,6089,6159,6284,5962,257,219,213,223,0,214,1
189,4081,2,2,1,34,1,-1,0,0,0,0,0,169,322,426,435,459,169,156,109,15,31,62,0
190,627,2,2,2,31,1,5,4,4,3,2,681,662,673,654,634,643,0,31,0,0,23,0,0
191,9733,1,1,2,32,0,0,0,0,0,0,1880,1951,1949,2068,1895,1360,314,189,315,157,158,132,0
192,1883,2,1,2,27,2,0,0,0,2,0,616,638,680,722,706,718,42,52,62,0,28,26,1
193,5651,2,1,2,29,-1,-1,-1,-2,-1,0,357,6,0,0,540,535,6,0,0,540,10,160,0
194,5651,2,1,2,24,-1,-1,2,0,0,-2,460,693,668,320,0,0,1188,0,6,0,0,0,0
195,1569,1,2,1,36,0,0,0,0,-1,-1,1500,568,572,0,2,20,62,31,62,15,31,628,0
196,1569,2,1,2,24,1,2,2,2,2,2,1135,1167,1183,1207,1231,1256,59,43,53,48,50,0,1
197,4709,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,3,0,47,0,0,3,0,47,0,0
198,627,2,1,2,22,0,0,0,0,-1,0,582,610,598,261,592,604,47,32,16,627,21,31,0
199,15698,2,1,1,34,-2,-2,-2,-1,-1,-1,12,4,72,39,37,36,4,72,39,37,36,496,0
200,941,2,3,2,22,1,2,2,0,0,0,910,918,882,936,51,0,31,2,53,3,0,0,1
201,5651,2,1,1,38,-2,-2,-2,-2,-2,-2,23,0,0,0,0,0,0,0,0,0,0,0,0
202,4395,1,1,2,31,0,0,2,0,0,2,851,857,564,635,860,340,784,0,94,244,0,78,0
203,4395,2,1,2,26,-1,0,-1,-1,-1,-1,421,565,408,182,424,15,313,408,183,424,15,219,0
204,3767,1,2,2,26,0,0,0,0,0,0,3369,3471,3570,3642,3740,3834,156,156,130,156,156,156,0
205,11302,2,2,1,48,0,0,0,0,0,0,7109,7280,7352,5972,5449,4600,285,229,182,175,175,128,0
206,627,1,3,1,43,-1,-1,0,0,0,0,7,638,635,607,610,607,702,40,39,45,108,53,0
207,3139,1,1,1,47,-1,-1,-1,-1,-1,-1,12,46,12,12,12,0,46,12,12,12,0,74,0
208,6593,2,2,1,41,-1,-1,-1,-1,-1,-1,96,49,10,118,27,0,49,10,118,27,0,13,1
209,2511,2,2,2,24,0,0,0,0,0,0,2562,2560,2499,1555,1554,1556,100,94,63,62,56,56,1
210,10361,2,1,1,50,-1,-1,-1,-1,-2,-2,278,136,89,53,0,53,136,89,53,0,53,8,0
211,6907,1,1,2,24,0,0,0,-1,-1,-1,3315,3419,3501,260,0,2688,156,158,260,0,2688,0,0
212,6593,2,1,1,38,1,-2,-1,0,-1,-1,0,0,7,3,24,38,0,7,0,24,38,301,1
213,1255,2,3,1,43,0,0,0,0,0,0,1201,1221,1196,1136,1040,983,53,47,37,47,47,31,0
214,941,1,2,2,39,0,0,0,2,0,0,890,882,577,407,242,252,95,72,0,31,62,4,0
215,14756,1,2,2,27,2,2,2,2,0,0,9311,9523,9665,15069,9580,9731,408,345,0,329,340,325,0
216,941,1,3,1,42,-1,-1,-1,-1,-1,2,12,12,12,7,41,24,12,12,7,46,0,0,0
217,7535,2,2,1,36,1,-2,-2,-2,-2,-2,-29,-29,-29,-29,-29,-29,0,0,0,0,0,0,1
218,2511,1,2,2,36,2,0,0,0,0,0,2489,2464,2465,2512,2393,2456,97,109,106,94,109,94,0
219,3453,2,3,0,31,0,0,0,0,0,0,2825,2644,2489,2301,2003,1984,125,156,94,94,94,281,0
220,9733,2,1,2,38,-1,-1,-1,-1,-2,-2,44,142,3,0,0,0,142,3,0,0,0,0,0
221,11302,2,1,1,40,2,2,2,0,0,0,3301,3625,3521,3600,3700,3775,376,0,185,156,141,147,1
222,10361,2,3,2,45,0,0,0,0,0,0,10524,10516,10534,10482,10541,10364,388,388,380,390,383,366,0
223,9419,2,2,2,35,0,0,0,0,0,0,9156,9333,6456,6776,6545,6672,377,282,533,376,300,470,0
224,10047,2,2,2,33,0,0,0,0,0,0,2877,2952,3409,2069,1375,1044,315,591,66,65,158,117,0
225,1569,2,3,2,37,1,3,2,0,0,0,1652,1618,1544,954,949,940,0,0,47,31,37,960,1
226,5337,2,1,2,28,0,0,0,0,0,0,4093,4119,4047,3940,3996,4045,205,152,706,151,153,155,0
227,10989,1,3,1,44,-1,-1,-1,-1,-1,-2,102,84,58,17,0,0,84,58,17,0,0,0,0
228,627,1,2,1,37,0,0,0,0,0,0,516,518,593,589,585,602,50,94,20,21,26,24,0
229,1569,1,2,2,23,2,0,0,0,0,0,1562,1521,1385,667,630,592,75,70,62,22,22,31,1
230,627,2,3,2,24,1,2,0,0,0,0,601,570,541,239,54,0,0,41,15,3,0,100,0
231,1569,2,1,2,24,0,0,0,0,0,0,1101,1123,971,609,326,41,65,62,31,7,31,12,0
232,627,1,2,2,23,1,2,0,0,2,0,635,537,529,529,422,317,0,37,31,0,31,313,1
233,1569,1,2,1,26,0,0,-2,-1,-1,0,3227,0,0,82,1430,1461,0,0,82,1430,54,62,0
234,5965,1,2,2,34,2,0,0,0,2,2,4075,4125,4219,4468,4399,4711,156,156,313,0,380,86,1
235,1883,2,2,1,33,0,0,0,0,0,0,1827,1141,657,649,633,609,47,40,31,22,25,18,0
236,2511,1,1,2,35,-1,-1,-1,-1,-1,-1,250,124,215,53,43,626,125,215,53,43,626,75,0
237,4709,2,2,2,27,0,0,0,0,0,0,4000,3455,1618,1393,1158,926,141,54,49,37,33,79,0
238,6593,2,1,2,31,-2,-2,-2,-2,-1,-1,45,0,233,28,190,71,0,233,28,190,71,103,0
239,7535,2,3,1,50,0,0,0,0,0,0,7353,7273,6739,6519,6605,6740,317,287,251,251,251,242,1
240,4395,2,2,3,41,0,0,0,0,0,0,607,681,720,598,515,514,94,62,69,31,94,75,1
241,1883,2,1,2,28,1,2,2,-2,-2,-1,675,648,0,0,0,71,0,0,0,0,71,0,0
242,1569,1,1,2,39,0,0,0,0,0,0,1481,1506,1526,1595,966,498,56,62,94,62,62,62,0
243,1569,2,2,2,27,0,0,0,0,0,0,836,870,900,878,903,923,56,54,28,37,37,34,0
244,5651,2,1,2,32,-1,-1,2,2,-1,-1,98,183,88,0,88,0,88,0,0,88,0,5,0
245,941,2,1,2,40,-1,-1,2,2,2,2,4,6,4,0,0,2,11,3,0,0,1,1,0
246,627,2,2,2,40,0,0,0,0,0,-2,622,640,631,614,0,0,50,69,66,0,0,0,0
247,7849,2,2,1,75,0,-1,-1,-1,-1,-1,1660,51,48,31,174,24,51,48,31,174,24,37,0
248,3139,2,2,2,27,0,0,0,0,0,0,1185,1081,943,952,973,1033,56,56,34,36,76,0,0
249,10361,1,1,2,25,0,0,0,0,2,0,1448,1437,1511,1605,1238,796,78,125,158,2,32,80,0
